"x","y","Food","rel_risk"
0.388145794376664,17,"Sugar",2.4442509597017
0.415695711524174,14,"Pork",2.60432818777636
0.417585969797869,4,"Butter",2.61568817962686
0.450093393541706,8,"Corn",2.81898908003903
0.452995173190711,1,"Bacon",2.83788748758995
0.458600697486657,13,"Onion",2.87475406985203
0.466809830321022,17,"Sugar",2.92961014118582
0.495750111824807,16,"Salt",3.13148338541551
0.501132096046383,2,"Beef",3.17053167288033
0.513660196873412,7,"Coffee",3.26332401428087
0.512615352553532,16,"Salt",3.25548240581131
0.529004692460005,9,"Egg",3.38068488944755
0.536490146551924,17,"Sugar",3.43945907708868
0.551497581803035,16,"Salt",3.56039007568115
0.568135274365863,16,"Salt",3.69943392077023
0.588799823357803,2,"Beef",3.87971499492579
0.590857295280321,3,"Bread",3.89813876781589
0.638597868922141,18,"Tea",4.35108802013812
0.648719483389852,6,"Cheese",4.45368486015317
0.658474657173989,2,"Beef",4.55485605977068
0.698533486697023,16,"Salt",4.99497692977267
0.711315932406746,2,"Beef",5.14417734468752
0.709958055762032,15,"Potato",5.12811854139919
0.737684584983591,11,"Milk",5.46618825888943
0.738615420682073,18,"Tea",5.47791665986036
0.74127713302645,4,"Butter",5.51159291289417
0.858733952295611,1,"Bacon",7.22327172234473
0.989087760581945,1,"Bacon",9.75186679834054
-0.372204825122392,18,"Tea",0.424419348996225
-0.0376791778767698,18,"Tea",0.916897570796746
0.316208706390861,16,"Salt",2.0711364237423
-0.229479998235787,9,"Egg",0.589549128575842
0.213584439641864,9,"Egg",1.63525106120509
0.445221188197415,8,"Corn",2.78754051449463
0.0626053014598864,4,"Butter",1.15506201351099
-0.0528073038415737,12,"Olive",0.885508422147822
0.0150465311163055,7,"Coffee",1.03525307967263
